non_terminal,!=,(,),*,+,",",-,/,;,<,<=,=,==,>,>=,FLOAT,ID,INTEGER,STRING,[,],else,float,if,int,read,return,string,void,while,write,{,},$
program,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,1,ERROR,1,ERROR,ERROR,1,1,ERROR,ERROR,ERROR,ERROR,1
declaration_list,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,2,ERROR,2,ERROR,ERROR,2,2,ERROR,ERROR,ERROR,ERROR,ERROR
declaration,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,4,ERROR,4,ERROR,ERROR,4,6,ERROR,ERROR,ERROR,ERROR,ERROR
var_declaration',ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,7,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,8,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
type_specifier,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,10,ERROR,9,ERROR,ERROR,11,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
params,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,12,ERROR,12,ERROR,ERROR,12,13,ERROR,ERROR,ERROR,ERROR,ERROR
param_list',ERROR,ERROR,15,ERROR,ERROR,14,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
param',ERROR,ERROR,17,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,16,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
local_declarations,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,19,ERROR,ERROR,ERROR,ERROR,ERROR,18,19,18,19,19,18,ERROR,19,19,19,19,ERROR
statement_list,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,20,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,20,ERROR,20,20,ERROR,ERROR,20,20,20,21,ERROR
statement,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,22,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,25,ERROR,28,27,ERROR,ERROR,26,29,24,ERROR,ERROR
assignment_stmt',ERROR,30,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,30,30,30,31,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
selection_stmt',ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,33,ERROR,ERROR,ERROR,ERROR,32,ERROR,33,ERROR,33,33,ERROR,ERROR,33,33,33,33,ERROR
return_stmt',ERROR,35,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,34,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,35,35,35,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,35,35,ERROR
var',37,ERROR,37,37,37,37,37,37,37,37,37,37,37,37,37,ERROR,ERROR,ERROR,ERROR,36,37,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
expression',38,ERROR,39,ERROR,ERROR,ERROR,ERROR,ERROR,39,38,38,ERROR,38,38,38,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
relop,45,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,41,40,ERROR,44,42,43,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
arithmetic_expression',46,ERROR,46,ERROR,47,46,47,ERROR,46,46,46,ERROR,46,46,46,ERROR,ERROR,ERROR,ERROR,ERROR,46,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
